stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
AUC1BRIQ,,"Rue du Val d'Enfer",,50.516642,2.460248,,,0,
AUC1CCOM,,"Auchel Centre Commercial",,50.514762,2.473124,,,0,
AUC1CENT,,"Jaurès",,50.507491,2.475226,,,0,
AUC1CHA1,,"Rue Georges Bernard",,50.500660,2.480436,,,0,
AUC1CHAT,,"Chateaubriand",,50.501298,2.479284,,,0,
AUC1CIME,,"Auchel Cimetière",,50.512131,2.466920,,,0,
AUC1CLIN,,"Dr Laënnec",,50.501400,2.474693,,,0,
AUC1COSE,,"Auchel Collège Sévigné",,50.507759,2.465390,,,0,
AUC1CVIL,,"Front Populaire",,50.503481,2.472630,,,0,
AUC1EGAL,,"Egalité",,50.513480,2.470668,,,0,
AUC1EVRA,,"Evrard",,50.502993,2.478166,,,0,
AUC1FREV,,"Fréville",,50.513288,2.483362,,,0,
AUC1GROU,,"Briquet",,50.507987,2.471928,,,0,
AUC1LAME,,"Lamendin",,50.518592,2.455025,,,0,
AUC1LMAN,,"La Manaie",,50.516361,2.481048,,,0,
AUC1LYMI,,"Auchel Lycée Mixte",,50.507134,2.476915,,,0,
AUC1MDLO,,"Mont de Lozinghem",,50.514870,2.482626,,,0,
AUC1PDMA,,"Séraphin Cordier",,50.502381,2.470989,,,0,
AUC1PISC,,"Auchel Piscine",,50.507271,2.467342,,,0,
AUC1PJGU,,"Auchel Mairie",,50.504047,2.468319,,,0,
AUC1POGO,,"Pogon",,50.500000,2.484533,,,0,
AUC1PROV,,"Fraternité",,50.507328,2.458072,,,0,
AUC1RDPO,,"Portel",,50.510719,2.462442,,,0,
AUC1RIMB,,"Rimbert",,50.518466,2.457719,,,0,
AUC1SORR,,"Sorriaux",,50.503898,2.464859,,,0,
AUC1VAND,,"Vandervelde",,50.506413,2.461390,,,0,
AUC1ZI__,,"Z.I. Portes de l'Artois",,50.512966,2.463722,,,0,
AUC2AFRA,,"Anatole France",,50.517112,2.452633,,,0,
AUC2BASL,,"Basly",,50.506201,2.467186,,,0,
AUC2BRIQ,,"Rue du Val d'Enfer",,50.516651,2.460374,,,0,
AUC2CCOM,,"Auchel Centre Commercial",,50.514863,2.473450,,,0,
AUC2CENT,,"Jaurès",,50.507520,2.475491,,,0,
AUC2CHA1,,"Rue Georges Bernard",,50.500749,2.480788,,,0,
AUC2CHAT,,"Chateaubriand",,50.501336,2.479398,,,0,
AUC2CIME,,"Auchel Cimetière",,50.512382,2.467216,,,0,
AUC2CLIN,,"Dr Laënnec",,50.501373,2.474793,,,0,
AUC2COSE,,"Auchel Collège Sévigné",,50.507852,2.465195,,,0,
AUC2CVIL,,"Front Populaire",,50.503630,2.472817,,,0,
AUC2EGAL,,"Egalité",,50.513349,2.469737,,,0,
AUC2EVRA,,"Evrard",,50.502973,2.478289,,,0,
AUC2FREV,,"Fréville",,50.513288,2.483497,,,0,
AUC2GROU,,"Briquet",,50.507972,2.471574,,,0,
AUC2LAME,,"Lamendin",,50.518679,2.454934,,,0,
AUC2LMAN,,"La Manaie",,50.516296,2.481268,,,0,
AUC2LYMI,,"Auchel Lycée Mixte",,50.507216,2.477009,,,0,
AUC2MDLO,,"Mont de Lozinghem",,50.514862,2.482524,,,0,
AUC2PDMA,,"Séraphin Cordier",,50.502381,2.470943,,,0,
AUC2PISC,,"Auchel Piscine",,50.507284,2.467322,,,0,
AUC2PJGU,,"Auchel Mairie",,50.504029,2.467996,,,0,
AUC2POGO,,"Pogon",,50.500054,2.484527,,,0,
AUC2PROV,,"Fraternité",,50.507206,2.457959,,,0,
AUC2RDPO,,"Portel",,50.510699,2.462526,,,0,
AUC2RIMB,,"Rimbert",,50.518519,2.457832,,,0,
AUC2SORR,,"Sorriaux",,50.503988,2.464845,,,0,
AUC2VAND,,"Vandervelde",,50.506207,2.461572,,,0,
AUC2ZI__,,"Z.I. Portes de l'Artois",,50.512985,2.463811,,,0,
AUM1ACOP,,"Humblot",,50.515485,2.780869,,,0,
AUM1CASE,,"Auchy Caisse de Secours",,50.505646,2.777072,,,0,
AUM1CIME,,"Auchy Cimetière",,50.508220,2.787089,,,0,
AUM1CIZI,,"Briquet",,50.508833,2.789058,,,0,
AUM1COLL,,"Auchy Collège Joliot-Curie",,50.517181,2.788384,,,0,
AUM1DERE,,"Derez",,50.508868,2.782481,,,0,
AUM1DETE,,"Rue du Calvaire",,50.517328,2.776906,,,0,
AUM1DOUA,,"Douai",,50.502467,2.780546,,,0,
AUM1EGLA,,"Eglantines",,50.505297,2.782439,,,0,
AUM1EGLI,,"Auchy Mairie",,50.511669,2.785179,,,0,
AUM1FHDB,,"Jules Verne",,50.512812,2.790572,,,0,
AUM1FLES,,"Auchy Mairie",,50.510724,2.783414,,,0,
AUM1GASE,,"Sainte Elisabeth",,50.520542,2.792388,,,0,
AUM1JDBO,,"Jeu de Boules",,50.501743,2.777199,,,0,
AUM1JPRI,,"Jeannette Prin",,50.517252,2.789833,,,0,
AUM1LLIL,,"Place Jean Jaurès",,50.511020,2.787462,,,0,
AUM1MARA,,"Centre commercial",,50.520114,2.793851,,,0,
AUM1PFLA,,"Porte des Flandres",,50.518258,2.798005,,,0,
AUM1RD94,,"Planquette",,50.518502,2.784476,,,0,
AUM1TITO,,"Place Germinal",,50.504032,2.786415,,,0,
AUM2ACOP,,"Humblot",,50.515529,2.780993,,,0,
AUM2CASE,,"Auchy Caisse de Secours",,50.505735,2.777339,,,0,
AUM2CIME,,"Auchy Cimetière",,50.508087,2.786969,,,0,
AUM2CIZI,,"Briquet",,50.508914,2.788988,,,0,
AUM2COLL,,"Auchy Collège Joliot-Curie",,50.517148,2.788397,,,0,
AUM2DERE,,"Derez",,50.508690,2.782198,,,0,
AUM2DETE,,"Rue du Calvaire",,50.517255,2.777173,,,0,
AUM2DOUA,,"Douai",,50.502673,2.780594,,,0,
AUM2EGLA,,"Eglantines",,50.505068,2.783200,,,0,
AUM2FHDB,,"Jules Verne",,50.512817,2.790538,,,0,
AUM2GASE,,"Sainte Elisabeth",,50.519744,2.790805,,,0,
AUM2JDBO,,"Jeu de Boules",,50.502004,2.777025,,,0,
AUM2JPRI,,"Jeannette Prin",,50.517087,2.789840,,,0,
AUM2LLIL,,"Place Jean Jaurès",,50.511040,2.787406,,,0,
AUM2MARA,,"Centre Commercial",,50.520174,2.794079,,,0,
AUM2PFLA,,"Porte des Flandres",,50.518337,2.797679,,,0,
AUM2RD94,,"Planquette",,50.518369,2.784296,,,0,
AUM2TITO,,"Place Germinal",,50.504375,2.786359,,,0,
AVI1BAS2,,"Rue Helle",,50.406949,2.835930,,,0,
AVI1BAST,,"Bastille",,50.407246,2.837537,,,0,
AVI1BROS,,"Brossolette",,50.410493,2.806960,,,0,
AVI1CHVE,,"Taverne",,50.410397,2.855416,,,0,
AVI1CICH,,"Cheminots",,50.413862,2.850832,,,0,
AVI1CIME,,"Avion Cimetière",,50.413979,2.839936,,,0,
AVI1COJR,,"Avion Collège Rousseau",,50.405142,2.826514,,,0,
AVI1COSM,,"Rue Lamendin",,50.406556,2.841368,,,0,
AVI1CSEC,,"Thumerelle",,50.409217,2.821214,,,0,
AVI1DELE,,"Delestraint",,50.414052,2.812372,,,0,
AVI1EGL2,,"Avion Eglise",,50.410364,2.830181,,,0,
AVI1FCA2,,"Cadras",,50.408654,2.825125,,,0,
AVI1FOS7,,"Fosse 7",,50.404616,2.815291,,,0,
AVI1GAR2,,"Avion Gare SNCF",,50.407260,2.833535,,,0,
AVI1GEND,,"Avion Gendarmerie",,50.406552,2.828242,,,0,
AVI1GHE2,,"Ghesquière",,50.407141,2.813559,,,0,
