service_id,date,exception_type
2018_09H-_PS1F-Fête-1-01,20181124,2
2018_09H-_PS1F-Fête-1-01,20181125,2
2018_09H-_PS1F-Fête-1-01,20181126,2
2018_09H-_PS1F-Fête-1-01,20181127,2
2018_09H-_PS1F-Fête-1-01,20181128,2
2018_09H-_PS1F-Fête-1-01,20181129,2
2018_09H-_PS1F-Fête-1-01,20181130,2
2018_09H-_PS1F-Fête-1-01,20181201,2
2018_09H-_PS1F-Fête-1-01,20181202,2
2018_09H-_PS1F-Fête-1-01,20181203,2
2018_09H-_PS1F-Fête-1-01,20181204,2
2018_09H-_PS1F-Fête-1-01,20181205,2
2018_09H-_PS1F-Fête-1-01,20181206,2
2018_09H-_PS1F-Fête-1-01,20181207,2
2018_09H-_PS1F-Fête-1-01,20181208,2
2018_09H-_PS1F-Fête-1-01,20181209,2
2018_09H-_PS1F-Fête-1-01,20181210,2
2018_09H-_PS1F-Fête-1-01,20181211,2
2018_09H-_PS1F-Fête-1-01,20181212,2
2018_09H-_PS1F-Fête-1-01,20181213,2
2018_09H-_PS1F-Fête-1-01,20181214,2
2018_09H-_PS1F-Fête-1-01,20181215,2
2018_09H-_PS1F-Fête-1-01,20181216,2
2018_09H-_PS1F-Fête-1-01,20181217,2
2018_09H-_PS1F-Fête-1-01,20181218,2
2018_09H-_PS1F-Fête-1-01,20181219,2
2018_09H-_PS1F-Fête-1-01,20181220,2
2018_09H-_PS1F-Fête-1-01,20181221,2
2018_09H-_PS1F-Fête-1-01,20181222,2
2018_09H-_PS1F-Fête-1-01,20181223,2
2018_09H-_PS1F-Fête-1-01,20181224,2
